全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,スロープ,エレベータ,エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
131181,131181000001,荒川区,荒川区役所,アラカワクヤクショ,,,1302,,,131181,0006002,東京都荒川区荒川2丁目2-3,東京都,荒川区,荒川2丁目,2-3,,35.736149,139.783420,,,(03)3802-3111,,,,X（旧Twitter）: https://x.com/arakawakukoho; Facebook: https://www.facebook.com/city.arakawa,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。　夜間・休日窓口：水曜日は一部窓口で午後7時まで開庁。第2・4日曜日は午前9時から正午に一部窓口を開庁。,区役所,可,有,無,有,有,有,有,無,有,有,有,無,有,有,有,有,有,可,有,有,,,,
131181,131181000002,荒川区,荒川区役所北庁舎,アラカワクヤクショキタチョウシャ,,,1302,,,131181,0006002,東京都荒川区荒川2丁目11-1,東京都,荒川区,荒川2丁目,11-1,,35.737045,139.783407,,,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。,区役所,可,有,無,有,有,無,有,無,有,有,有,無,有,有,有,無,無,可,無,有,,,,
131181,131181000003,荒川区,南千住区民事務所,ミナミセンジュクミンジムショ,,,1304,,,131181,0004007,東京都荒川区南千住7丁目1-1 アクレスティ南千住2階,東京都,荒川区,南千住7丁目,1-1,アクレスティ南千住2階,35.733113,139.798194,階数,2,(03)3803-1791,,,,,1160003,7000020131181,荒川区,月火水木金（日）,8:30,17:15,水曜：8：30～19：00、第2・4日曜：9：00～12：00,区民事務所,可,有,無,有,有,有,有,無,無,無,有,無,有,無,有,有,有,否,無,有,,,,
131181,131181000004,荒川区,町屋区民事務所,マチヤクミンジムショ,,,1304,,,131181,0002002,東京都荒川区荒川7丁目50-9 センターまちや4階,東京都,荒川区,町屋2丁目,8-9,,35.743942,139.779841,階数,4,(03)3892-2321,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,有,有,無,有,有,無,有,有,無,有,無,有,有,有,否,無,有,,,,トイレにおむつ交換台あり
131181,131181000005,荒川区,尾久区民事務所,オグクミンジムショ,,,1304,,,131181,0001003,東京都荒川区西尾久3丁目7-15,東京都,荒川区,西尾久3丁目,7-15,,35.750618,139.765294,,,(03)3894-6121,,,,,1160011,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,無,有,有,無,無,無,有,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000006,荒川区,日暮里区民事務所,ニッポリクミンジムショ,,,1304,,,131181,0005006,東京都荒川区東日暮里6丁目17-6 ふらっとにっぽり1階,東京都,荒川区,東日暮里6丁目,17-6,ふらっとにっぽり1階,35.728949,139.777372,階数,1,(03)3801-2108,,,,,1160014,7000020131181,荒川区,月火水木金,8:30,17:15,,区民事務所,可,無,無,有,有,有,有,無,有,有,有,無,有,有,有,有,有,否,無,有,,,,
131180,131181000007,荒川区,荒川区子ども家庭総合センター,アラカワクコドモカテイソウゴウセンター,,,1406,,,131181,0006001,東京都荒川区荒川1丁目50-17,東京都,荒川区,荒川1丁目,50-17,,35.733955,139.784770,,,(03)3802-3765,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,祝日は利用不可。また、12/29～1/3は終日利用不可。,子育てに関する専門の相談機関,可,有,無,有,有,有,有,無,有,有,無,無,有,有,無,有,有,否,無,有,,,,
131181,131181000008,荒川区,荒川区保健所,アラカワクホケンジョ,,,1606,,,131181,0006002,東京都荒川区荒川2丁目11-1 1階,東京都,荒川区,荒川2丁目,11-1,1階,35.737045,139.783407,階数,1,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。,保健所,可,有,無,有,有,無,有,無,有,有,有,無,有,有,有,無,無,可,無,有,,,,
131181,131181000009,荒川区,荒川区がん予防・健康づくりセンター,アラカワクガンヨボウケンコウヅクリセンター,,,1606,,,131181,0006002,東京都荒川区荒川2丁目11-1,東京都,荒川区,荒川2丁目,11-1,,35.737045,139.783407,,,(03)3802-3111,,,,,1168502,7000020131181,荒川区,月火水木金,8:30,17:15,休業日：土曜・日曜・祝日・休日・年末年始（12月29日から翌年1月3日）。 不定期の土日に健診等を実施。,保健所,可,有,無,有,有,有,有,無,有,有,有,無,有,有,無,有,有,可,無,有,,,,
131181,131181000010,荒川区,荒川区役所分庁舎,アラカワクヤクショブンチョウシャ,,,1304,,,131181,0006002,東京都荒川区荒川2丁目25-3,東京都,荒川区,荒川2丁目,25-3,,35.737896,139.784181,,,(03)3802-3111,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,12月29日から1月3日までは閉庁日,区役所,可,有,無,有,有,無,有,無,無,無,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000011,荒川区,あらかわエコセンター,アラカワエコセンター,,,1304,,,131181,0006001,東京都荒川区荒川1丁目53-20,東京都,荒川区,荒川1丁目,53-20,,35.733016,139.784481,,,(03)3802-31643111,,,,,1160002,7000020131181,荒川区,月火水木金,8:30,17:15,年末年始は除く,環境清掃施設,可,無,無,有,有,有,有,無,有,有,有,無,有,有,無,無,無,否,無,有,,,,オストメイト対応トイレ及び授乳室は、併設している心身障害者福祉センターに有
131181,131181000012,荒川区,清掃リサイクル事務所,セイソウリサイクルジムショ,,,1304,,,131181,0002005,東京都荒川区町屋5丁目19-1,東京都,荒川区,町屋5丁目,19-1,,35.752901,139.779214,,,(03)3892-4671,,,,,1160001,7000020131181,荒川区,月火水木金土,7:40,17:15,年末年始は除く,環境清掃施設,否,無,無,無,無,無,無,無,無,有,有,無,有,無,無,無,無,否,無,無,,,,
131181,131181000013,荒川区,あらかわリサイクルセンター,アラカワリサイクルセンター,,,2004,,,131181,0004003,東京都荒川区南千住3丁目28-69,東京都,荒川区,南千住3丁目,28-69,,35.728692,139.807878,,,(03)3805-9172,,,,,1160003,7000020131181,荒川区,月火水木金土,8:30,17:15,年末年始は除く,環境清掃施設,可,無,無,有,有,無,有,無,有,有,有,無,有,有,有,無,有,否,無,有,,,,
131181,131181000014,荒川区,南千住清掃車車庫,ミナミセンジュセイソウシャシャコ,,,1304,,,131181,0004004,東京都荒川区南千住4丁目1-8,東京都,荒川区,南千住4丁目,1-8,,,,,,,,,,,1160003,7000020131181,荒川区,月火水木金土,7:40,16:25,年末年始は除く,環境清掃施設,可,無,無,有,有,無,有,無,有,有,有,無,有,無,無,無,無,否,無,有,,,,
131181,131181000015,荒川区,あらかわ就労支援センター,アラカワシュウロウシエンセンター,,,1399,,,131181,0006007,東京都荒川区荒川7丁目50-9 センターまちや3階,東京都,荒川区,荒川7丁目,50-9,センターまちや3階,35.742455,139.780797,階数,3,(03)3800-8710,,,,,1160002,7000020131181,荒川区,月火水木金,10:00,18:00,利用可能時間は相談窓口により異なる。休業日：年末年始。,就労支援施設,可,無,無,有,有,無,有,有,無,無,有,無,有,無,有,有,有,否,無,有,,,,区の文化施設「ムーブ町屋」内にあり、ふるさとハローワークである「ＪＯＢコーナー町屋」、若者・女性・シニアを対象とする相談窓口などを設置・運営している。
131181,131181000016,荒川区,南千住区民事務所西部ひろば館,ミナミセンジュクミンジムショセイブヒロバカン,,,1309,,,131181,0004001,東京都荒川区南千住1丁目19-13,東京都,荒川区,南千住1丁目,19-13,,35.733246,139.790130,,,電話なし,,,,,1160003,7000020131181,荒川区,月火水木金土日,9:00,21:45,,ひろば館,否,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,否,無,有,,,,
131181,131181000017,荒川区,石浜ふれあい館,イシハマフレアイカン,,,1403,,,131181,0004003,東京都荒川区南千住3丁目28-2,東京都,荒川区,南千住3丁目,28-2,,35.731295,139.806409,,,(03)3805-5301,,,,,1160003,8010001033429,株式会社　日本デイケアセンター,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
131181,131181000018,荒川区,南千住ふれあい館,ミナミセンジュフレアイカン,,,1403,,,131181,0004006,東京都荒川区南千住6丁目36-13,東京都,荒川区,南千住6丁目,36-13,,35.738171,139.791033,,,(03)3807-1131,,,,,1160003,5011001011146,株式会社　ポピンズエデュケア,月火水木金土日,8:30,22:00,12月29日から1月3日までは休館日,ふれあい館,可,有,無,有,有,有,有,無,有,無,有,無,有,有,有,有,有,可,無,有,,,,
