全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,利用可能日時特記事項,バリアフリー情報,アクセス方法,駐車場_有無,駐車場情報,料金_要否,料金(基本),料金(詳細),利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像_詳細,最終確認日,大区分,小区分,担当課
131024.0,131000000000.0,中央区,中央区庁舎,チュウオウクチョウシャ,,,,,,131024.0,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,本庁舎防災備蓄倉庫,ホンチョウシャボウサイビチクソウコ,,,,,,131024.0,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,中央区役所別棟,チュウオウクヤクショベツムネ,,,,,,131024.0,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,新富分庁舎,シントミブンチョウシャ,,,,,,131024.0,,東京都中央区新富1-13-24,,,,,,35.673538,139.774941,,,,,,,,1040041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,新富区民館,シントミクミンカン,,,,,,131024.0,,東京都中央区新富1-13-24,,,,,,35.673538,139.774941,,,,,,,,1040041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザ分庁舎,キョウバシプラザブンチョウシャ,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザ防災備蓄倉庫・京橋プラザ防災拠点倉庫,キョウバシプラザボウサイビチクソウコ・キョウバシプラザボウサイキョテンソウコ,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザ住宅,キョウバシプラザジュウタク,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザ区民館,キョウバシプラザクミンカン,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザコミュニティルーム,キョウバシプラザコミュニティルーム,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋休日応急診療所（京橋プラザ認証保育所を含む）,キョウバシキュウジツオウキュウシンリョウジョ（キョウバシプラザニンショウホイクジョヲフクム）,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋プラザ駐車場,キョウバシプラザチュウシャジョウ,,,,,,131024.0,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,日本橋特別出張所,ニホンバシトクベツシュッチョウジョ,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,日本橋公会堂,ニホンバシコウカイドウ,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,日本橋特別出張所防災備蓄倉庫・有馬小学校副拠点倉庫,ニホンバシトクベツシュッチョウショボウサイビチクソウコ・アリマショウガッコウフクキョテンソウコ,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,蛎殻町職員住宅,カキガラチョウショクインジュウタク,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,日本橋道路事務所・詰所,ニホンバシドウロジムショ・ツメショ,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,子ども家庭支援センター日本橋分室,コドモカテイシエンセンターニホンバシブンシツ,,,,,,131024.0,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島特別出張所,ツキシマトクベツシュッチョウジョ,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島道路事務所,ツキシマドウロジムショ,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島おとしより相談センター,ツキシマオトシヨリソウダンセンター,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島児童館,ツキシマジドウカン,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島図書館,ツキシマトショカン,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島社会教育会館,ツキシマシャカイキョウイクカイカン,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島駐車場,ツキシマチュウシャジョウ,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,月島特別出張所防災活動資器材庫,ツキシマトクベツシュッチョウショボウサイカツドウシキザイコ,,,,,,131024.0,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,環境土木部八丁堀詰所,カンキョウドボクブハッチョウボリツメショ,,,,,,131024.0,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,八丁堀職員住宅,ハッチョウボリショクインジュウタク,,,,,,131024.0,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,築地魚河岸,ツキジウオガシ,,,,,,131024.0,,東京都中央区築地6-26-1、6-27-1,,,,,,35.664851,139.771186,,,,,,,,1040045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,ハイテクセンター,ハイテクセンター,,,,,,131024.0,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京華スクエア防災備蓄倉庫・京華スクエア防災拠点倉庫,キョウカスクエアボウサイビチクソウコ・キョウカスクエアボウサイキョテンソウコ,,,,,,131024.0,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京華コミュニティルーム,キョウカコミュニティルーム,,,,,,131024.0,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,旧問屋街産業支援施設立体駐車場,キュウトンヤガイサンギョウシエンシセツリッタイチュウシャジョウ,,,,,,131024.0,,東京都中央区日本橋横山町6-15,,,,,,35.692748,139.782988,,,,,,,,1030003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,八丁堀分庁舎,ハッチョウボリブンチョウシャ,,,,,,131024.0,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,八丁堀かえで川住宅,ハッチョウボリカエデガワジュウタク,,,,,,131024.0,,東京都中央区八丁堀4-1-4,,,,,,35.674144,139.772964,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,京橋区民館,キョウバシクミンカン,,,,,,131024.0,,東京都中央区京橋2-6-7,,,,,,35.676572,139.771319,,,,,,,,1040031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,城東小学校防災拠点倉庫,ジョウトウショウガッコウボウサイキョテンソウコ,,,,,,131024.0,,東京都中央区京橋2-6-7,,,,,,35.676572,139.771319,,,,,,,,1040031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,知的障害者グループホームフレンドハウス京橋,チテキショウガイシャグループホームフレンドハウスキョウバシ,,,,,,131024.0,,東京都中央区京橋2-6-7,,,,,,35.676572,139.771319,,,,,,,,1040031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,銀座区民館,ギンザクミンカン,,,,,,131024.0,,東京都中央区銀座4-13-17,,,,,,35.66944,139.768618,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,銀座職員住宅,ギンザショクインジュウタク,,,,,,131024.0,,東京都中央区銀座4-13-17,,,,,,35.66944,139.768618,,,,,,,,1040061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,明石町区民館,アカシチョウクミンカン,,,,,,131024.0,,東京都中央区明石町14-2,,,,,,35.665783,139.77819,,,,,,,,1040044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,明石町職員住宅,アカシチョウショクインジュウタク,,,,,,131024.0,,東京都中央区明石町14-2,,,,,,35.665783,139.77819,,,,,,,,1040044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,明石町区民館防災備蓄倉庫,アカシチョウクミンカンボウサイビチクソウコ,,,,,,131024.0,,東京都中央区明石町14-2,,,,,,35.665783,139.77819,,,,,,,,1040044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,八丁堀区民館,ハッチョウボリクミンカン,,,,,,131024.0,,東京都中央区八丁堀4-13-12,,,,,,35.674202,139.778992,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,八丁堀区民館防災備蓄倉庫,ハッチョウボリクミンカンボウサイビチクソウコ,,,,,,131024.0,,東京都中央区八丁堀4-13-12,,,,,,35.674202,139.778992,,,,,,,,1040032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024.0,131000000000.0,中央区,新川区民館,シンカワクミンカン,,,,,,131024.0,,東京都中央区新川1-26-1,,,,,,35.676398,139.78371,,,,,,,,1040033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
