"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ、エレベータ、エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬・介助犬、聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"131121","131121000001","世田谷区","第１庁舎（複合施設）","","","","","","","131121","","東京都世田谷区世田谷4-21-27","東京都","世田谷区","世田谷4丁目","21-27","","35.646581","139.653243","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000002","世田谷区","第２庁舎","","","","","","","131121","","東京都世田谷区世田谷4-22-35","東京都","世田谷区","世田谷4丁目","22-35","","35.646152","139.651755","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000003","世田谷区","第３庁舎（複合施設）","","","","","","","131121","","東京都世田谷区世田谷4-22-33","東京都","世田谷区","世田谷4丁目","22-33","","35.64647","139.652243","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","","プレハブ棟他を含む"
"131121","131121000004","世田谷区","分庁舎ノバビル","","","","","","","131121","","東京都世田谷区世田谷4-22-11ノバビル","東京都","世田谷区","世田谷4丁目","22-11 ノバビル","","35.646729","139.651655","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000005","世田谷区","城山分庁舎","","","","","","","131121","","東京都世田谷区世田谷4-24-1","東京都","世田谷区","世田谷4丁目","24-1","","35.648097","139.651096","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000006","世田谷区","美松堂ビル","","","","","","","131121","","東京都世田谷区若林4-31-7","東京都","世田谷区","若林4丁目","31-7","","35.645767","139.653649","","","","","","","","1540023","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000007","世田谷区","プレハブ会議室","","","","","","","131121","","東京都世田谷区世田谷4-19-10","東京都","世田谷区","世田谷4丁目","19-10","","35.645334","139.652839","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000009","世田谷区","世田谷総合支所（複合施設）","","","","","","","131121","","東京都世田谷区世田谷4-22-33","東京都","世田谷区","世田谷4丁目","22-33","","35.64647","139.652243","","","","","","","","1540017","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131121","131121000010","世田谷区","世田谷保健福祉センター（健康づくり課分室）（複合施設）","","","","","","","131121","","東京都世田谷区若林4-22-13","東京都","世田谷区","若林4丁目","22-13","","35.644434","139.65357","","","","","","","","1540023","","","","","","","","","","","","","","","","","","","","","","","","","","","","区分所有"
"131121","131121000011","世田谷区","北沢総合支所（複合施設）","","","","","","","131121","","東京都世田谷区北沢2-8-18","東京都","世田谷区","北沢2丁目","8-18","","35.662208","139.66972","","","","","","","","1550031","","","","","","","","","","","","","","","","","","","","","","","","","","","","区分所有・一部借上"
