全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
,,千代田区,ちよだパークサイドプラザ,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,ちよだパークサイドプラザ（倉庫）,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,番町小学校（校舎）,,,,,,,,,東京都千代田区六番町8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,番町小学校（講堂）,,,,,,,,,東京都千代田区六番町8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,番町小学校（備蓄所）,,,,,,,,,東京都千代田区六番町8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,麹町小学校,,,,,,,,,東京都千代田区麹町二丁目8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,富士見小学校,,,,,,,,,東京都千代田区富士見一丁目10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,九段小学校,,,,,,,,,東京都千代田区三番町16-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,千代田小学校,,,,,,,,,東京都千代田区神田司町二丁目16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,昌平小学校,,,,,,,,,東京都千代田区外神田三丁目4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,和泉小学校,,,,,,,,,東京都千代田区神田和泉町1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,お茶の水小学校,,,,,,,,,東京都千代田区神田猿楽町一丁目1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,お茶の水小学校（屋外器具庫）,,,,,,,,,東京都千代田区神田猿楽町一丁目1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,千代田区,旧九段中学校,,,,,,,,,東京都千代田区富士見一丁目1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
