全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考,大区分,小区分,担当課
131083,131083000001,江東区,江東区役所,コウトウクヤクショ,,,1302a,,,131083,,東京都江東区東陽4-11-28,東京都,江東区,東陽4丁目,11-28,,35.672614,139.817331,,,(03)3647-9111,,,,,1358383,,,月火水木金,08:30:00,17:00:00,一部の窓口業務について、水曜日午後7時まで、原則毎月第2日曜日(3月・6月は第4日曜)午前9時から午後4時まで受付,,可,有,,有,有,有,,有,,,有,有,有,有,,,,https://www.city.koto.lg.jp/011501/shisetsuannai/kokyo/kuyakusho/honcho/17152.html,https://www.city.koto.lg.jp/011501/shisetsuannai/kokyo/kuyakusho/honcho/17152.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,アクセス方法 東京メトロ東西線東陽町駅下車徒歩5分 都バス錦糸町駅前→東京駅北口行（東22）江東区役所前 錦糸町駅→門前仲町行（都07）東陽町駅前 亀戸駅前→東陽町駅行（亀21）東陽町駅前 東大島駅→門前仲町（門21）江東区役所 東大島駅→東陽町駅前行（陽20）東陽町駅前 新木場駅→東陽町駅行（木11甲）東陽町駅前 潮見駅→東陽町駅行（木11乙）東陽町駅前;料金（基本） 200;料金（詳細） 200円/30分,区役所ほか,庁舎・防災センター,経理課
131083,131083000002,江東区,江東区防災センター,コウトウクボウサイセンター,,,1302a,,,131083,,東京都江東区東陽4-11-28,東京都,江東区,東陽4丁目,11-28,,35.672340,139.817360,,,(03)3647-9111,,,,,1358383,,,月火水木金,08:30:00,17:00:00,一部の窓口業務について、水曜日午後7時まで、原則毎月第2日曜日(3月・6月は第4日曜)午前9時から午後4時まで受付,,可,有,,有,有,有,,有,,,有,有,,,,,,https://www.city.koto.lg.jp/051101/kuse/profile/ichi/3099.html,https://www.city.koto.lg.jp/051101/kuse/profile/ichi/3099.html,本サイト上の文書・画像などの無断使用・転載、二次利用を禁止します。,アクセス方法 東京メトロ東西線東陽町駅下車徒歩5分 都バス錦糸町駅前→東京駅北口行（東22）江東区役所前 錦糸町駅→門前仲町行（都07）東陽町駅前 亀戸駅前→東陽町駅行（亀21）東陽町駅前 東大島駅→門前仲町（門21）江東区役所 東大島駅→東陽町駅前行（陽20）東陽町駅前 新木場駅→東陽町駅行（木11甲）東陽町駅前 潮見駅→東陽町駅行（木11乙）東陽町駅前;料金（基本） 200;料金（詳細） 200円/30分,区役所ほか,庁舎・防災センター,経理課
131083,131083000003,江東区,東陽二丁目駐車場,トウヨウニチョウメチュウシャジョウ,,,3731a,,,131083,,東京都江東区東陽2-3-6,東京都,江東区,東陽2丁目,3-6,,35.667459,139.817082,,,(03)3647-9051,,,,,1350016,,,月火水木金土日,00:00,00:00,時間貸し 7時30分～22時（30分200円）,月極駐車場に空きがある場合、申込受付を随時行っています。月極利用条件：（1）東陽二丁目駐車場から半径2km以内にお住まいの区民の方（2）車の名義人が本人であること（法人契約は不可、ローンは可）（3）車の大きさが全長5m、全幅2m、全高2m以内,,,,,有,,,,,,有,,,,,,,https://www.city.koto.lg.jp/053102/kurashi/kotsu/jidosha/7561.html,,,アクセス方法 東京メトロ東西線「東陽町駅」徒歩5分;料金（基本） 200;料金（詳細） 200円/30分,交通,駐車場,経理課
131083,131083000004,江東区,男女共同参画推進センター,ダンジョキョウドウサンカクスイシンセンター,,パルシティ江東,1305,,,131083,,東京都江東区扇橋3-22-2パルシティ江東,東京都,江東区,扇橋3丁目,22-2 パルシティ江東,,35.684120,139.820180,,,(03)5683-0341,,,,,1350011,,,月火水木金土日,09:00:00,22:00:00,第2第4月曜日は休館、祝日の場合は開館,,,,,,有,,,,,,,,,,,,,https://www.city.koto.lg.jp/kurashi/jinken/danjo/center/,https://www.city.koto.lg.jp/055201/shisetsuannai/kokyo/omonashisetsu/shisetsu/16794.html,江東区公式ホームページに準拠,アクセス方法 都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分;料金（基本） 右記URL参照;料金（詳細） https://www.city.koto.lg.jp/055201/kurashi/jinken/danjo/center/danjyo_center2.html,区役所ほか,男女共同参画推進センター,男女共同参画推進センター
131083,131083000005,江東区,江東区文化センター,コウトウクブンカセンター,,,0801a,,,131083,,東京都江東区東陽4-11-3,東京都,江東区,東陽4丁目,11-3,,35.673086,139.818678,,,(03)3644-8111,,,,,1350016,,,月火水木金土日,09:00:00,22:00:00,第2・4月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/koto/,,,アクセス方法 東京メトロ東西線「東陽町」駅1番出口より徒歩5分;料金（基本） 1100;料金（詳細） https://www.kcf.or.jp/koto/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000006,江東区,豊洲文化センター,トヨスブンカセンター,,,0801a,,,131083,,東京都江東区豊洲2-2-18,東京都,江東区,豊洲2丁目,2-18,,35.654581,139.795247,,,(03)3536-5061,,,,,1350061,,,月火水木金土日,09:00:00,22:00:00,第2・4月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/toyosu/,,,アクセス方法 東京メトロ有楽町線「豊洲」駅 7番出口より徒歩1分/新交通ゆりかもめ「豊洲」駅 改札フロア直結;料金（基本） 1100;料金（詳細） https://www.kcf.or.jp/toyosu/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000007,江東区,東大島文化センター,ヒガシオオジマブンカセンター,,,0801a,,,131083,,東京都江東区大島8-33-9,東京都,江東区,大島8丁目,33-9,,35.690052,139.842408,,,(03)3681-6331,,,,,1360072,,,月火水木金土日,09:00:00,22:00:00,第1・3月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/higashiojima/,,,アクセス方法 都営地下鉄新宿線「東大島」駅 大島口出口より徒歩5分;料金（基本） 1900;料金（詳細） https://www.kcf.or.jp/higashiojima/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000008,江東区,砂町文化センター,スナマチブンカセンター,,,0801a,,,131083,,東京都江東区北砂5-1-7,東京都,江東区,北砂5丁目,1-7,,35.680617,139.831936,,,(03)3640-1751,,,,,1360073,,,月火水木金土日,09:00:00,22:00:00,第1・3月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/sunamachi/,,,アクセス方法 都営地下鉄新宿線「西大島」駅A4出口より都バス都07系統「門前仲町」行きまたは都バス亀29系統「なぎさニュータウン」行き、または「西葛西駅」行き「北砂二丁目」下車徒歩8分;料金（基本） 1100;料金（詳細） https://www.kcf.or.jp/sunamachi/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000009,江東区,森下文化センター,モリシタブンカセンター,,,0801a,,,131083,,東京都江東区森下3-12-17,東京都,江東区,森下3丁目,12-17,,35.685408,139.802078,,,(03)5600-8666,,,,,1350004,,,月火水木金土日,09:00:00,22:00:00,第1・3月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,無,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/morishita/,,,アクセス方法 都営地下鉄新宿線・大江戸線「森下」駅 Ａ6出口より徒歩8分/都営地下鉄大江戸線・東京メトロ半蔵門線「清澄白河」駅 A2出口より徒歩8分;料金（基本） 1500;料金（詳細） https://www.kcf.or.jp/morishita/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000010,江東区,古石場文化センター,フルイシバブンカセンター,,,0801a,,,131083,,東京都江東区古石場2-13-2,東京都,江東区,古石場2丁目,13-2,,35.667256,139.799022,,,(03)5620-0224,,,,,1350045,,,月火水木金土日,09:00:00,22:00:00,第1・3月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,無,有,有,無,有,有,可,無,有,https://www.kcf.or.jp/furuishiba/,,,アクセス方法 JR京葉線｢越中島｣駅 3番出口より徒歩10分/東京メトロ東西線｢門前仲町｣駅 2番出口より徒歩10分/東京メトロ東西線｢木場｣駅 4番出口より徒歩10分/都営地下鉄大江戸線｢門前仲町｣駅 4番出口より徒歩15分;料金（基本） 1100;料金（詳細） https://www.kcf.or.jp/furuishiba/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000011,江東区,亀戸文化センター,カメイドブンカセンター,,,0801a,,,131083,,東京都江東区亀戸2-19-1,東京都,江東区,亀戸2丁目,19-1,,35.697917,139.824505,,,(03)5626-2121,,,,,1360071,,,月火水木金土日,09:00:00,22:00:00,第2・4月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,無,有,可,無,有,https://www.kcf.or.jp/kameido/,,,アクセス方法 JR総武線「亀戸」駅 北口より徒歩2分/東武亀戸線「亀戸」駅 北口より徒歩2分;料金（基本） 1400;料金（詳細） https://www.kcf.or.jp/kameido/shisetsu-bunka/fee/,文化観光,文化センター等,文化観光課
131083,131083000012,江東区,総合区民センター,ソウゴウクミンセンター,,,0801a,,,131083,,東京都江東区大島4-5-1,東京都,江東区,大島4丁目,5-1,,35.689380,139.827021,,,(03)3637-2261,,,,,1360072,,,月火水木金土日,09:00:00,22:00:00,第2・4月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区文化センター、江東区地域文化センター（森下・古石場・豊洲・亀戸・東大島・砂町）及び江東区総合区民センターは、区民の文化の高揚と福祉の増進を図るために設置された施設です。区民のみなさんに語り合う場、学び合う場として広くご利用いただくため、多様な活動内容に対応できる各種施設を提供し、地域のコミュニティ活動及び生涯学習推進の拠点施設としての役割を担っています。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/sogo/,,,アクセス方法 JR総武線「亀戸」駅北口より徒歩15分/都営地下鉄新宿線「西大島」駅A4出口より徒歩1分;料金（基本） 1100;料金（詳細） https://www.kcf.or.jp/sogo/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000013,江東区,江東公会堂,コウトウコウカイドウ,,,0801a,,,131083,,東京都江東区住吉2-28-36,東京都,江東区,住吉2丁目,28-36,,35.688755,139.819463,,,(03)3635-5500,,,,,1350002,,,月火水木金土日,09:00:00,22:00:00,第1・3月曜日(ただし祝日の場合は開館)、年末年始(12/29～1/3)は休館日,江東区江東公会堂（ティアラこうとう）は、区民の文化の高揚と福祉の増進を図るために設置された施設です。国内でもハイレベルな格調高い響きが味わえる大ホールを中心に、区民のみなさんの芸術文化の活動、発表、鑑賞の場として広くご利用いただけます。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/tiara/,,,アクセス方法 都営地下鉄新宿線・東京メトロ半蔵門線「住吉」駅A4出口より徒歩4分;料金（基本） 66200;料金（詳細） https://www.kcf.or.jp/tiara/shisetsu/fee/,文化観光,文化センター等,文化観光課
131083,131083000014,江東区,江東区芭蕉記念館,コウトウクバショウキネンカン,,,0801a,,,131083,,東京都江東区常盤1-6-3,東京都,江東区,常盤1丁目,6-3,,35.686127,139.794056,,,(03)3631-1448,,,,,1350006,,,月火水木金土日,09:00:00,17:00:00,第2・4月曜日は休館、1月2日、1月3日は正月特別開館で展示室のみ開館,江東区芭蕉記念館は、芭蕉関係資料の収集及び展示をし、俳句等文学活動の振興を図ることにより区民の文化の向上に資するために設置された施設です。,可,有,無,有,無,無,無,有,,有,無,無,無,有,可,無,有,https://www.kcf.or.jp/basho/,,,アクセス方法 都営新宿線・都営大江戸線 「森下」駅、A1出口より徒歩7分;料金（基本） 200;料金（詳細） https://www.kcf.or.jp/basho/outline/fee/,文化観光,文化センター等,文化観光課
131083,131083000015,江東区,江東区深川江戸資料館,コウトウクフカガワエドシリョウカン,,,0801a,,,131083,,東京都江東区白河1-3-28,東京都,江東区,白河1丁目,3-28,,35.681189,139.800595,,,(03)3630-8625,,,,,1350021,,,月火水木金土日,09:00:00,17:00:00,第2・4月曜日は休館、1月2日、1月3日は正月特別開館で展示室のみ開館,江東区深川江戸資料館は、江戸時代に関する資料等を展示及び収集、保存するとともに、区民の集会の場を提供することにより、文化の振興と向上を図るために設置された施設です。,可,有,無,有,有,有,無,有,,有,有,有,有,有,可,無,有,https://www.kcf.or.jp/fukagawa/,,,アクセス方法 都営大江戸線・東京メトロ半蔵門線「清澄白河駅」、A3出口より徒歩3分;料金（基本） 400;料金（詳細） https://www.kcf.or.jp/fukagawa/outline/fee/,文化観光,文化センター等,文化観光課
131083,131083000016,江東区,江東区中川船番所資料館,コウトウクナカガワフナバンショシリョウカン,,,0801a,,,131083,,東京都江東区大島9-1-15,東京都,江東区,大島9丁目,1-15,,35.687686,139.846282,,,(03)3636-9091,,,,,1360072,,,火水木金土日,09:00:00,17:00:00,毎週月曜日は休館、ただし祝日の場合は翌日休館,江東区中川船番所資料館は、江戸時代に設置されていた中川船番所を再現し、水運や江東区の歴史に関する資料を収集、保存及び展示することにより区民の歴史や文化に対する知的要求にこたえるために設置されました。,可,有,無,有,有,有,無,有,無,有,無,無,有,有,否,無,有,https://www.kcf.or.jp/nakagawa/,,,アクセス方法 都営地下鉄新宿線「東大島」駅下車（大島口）より徒歩5分;料金（基本） 200;料金（詳細） https://www.kcf.or.jp/nakagawa/outline/fee/,文化観光,文化センター等,文化観光課
131083,131083000017,江東区,スポーツ会館,スポーツカイカン,,,1110a,,,131083,24001,東京都江東区北砂1-2-9,東京都,江東区,北砂1丁目,2-9,,35.684250,139.821460,階数,3,(03)3649-1701,,,https://www.koto-hsc.or.jp/contact/index.php,,1360073,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・武道場・トレーニング室・屋内プール等を備えたスポーツ施設です。,可,有,無,有,有,無,無,有,無,有,有,有,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center1/,https://www.koto-hsc.or.jp/sports_center1/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 東京メトロ半蔵門線/都営地下鉄新宿線住吉駅B1番出口より徒歩12分;駐車料金（基本） 100;駐車料金（詳細）最初の30分無料、その後 20分毎100円,スポーツ,体育館,スポーツ振興課
131083,131083000018,江東区,深川スポーツセンター,フカガワスポーツセンター,,,1110a,,,131083,11001,東京都江東区越中島1-2-18,東京都,江東区,越中島1丁目,2-18,,35.670692,139.791745,階数,4,(03)3820-5881,,,https://www.koto-hsc.or.jp/contact/index.php,,1350044,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・武道場・トレーニング室等を備えたスポーツ施設です。,可,有,無,有,有,有,無,有,無,有,有,有,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center2/,https://www.koto-hsc.or.jp/sports_center2/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 JR京葉線越中島駅1番出口より徒歩2分、東京メトロ東西線/都営地下鉄大江戸線門前仲町駅4番出口より徒歩5分;駐車料金（基本） 100;駐車料金（詳細） 最初の30分無料、その後20分毎100円,スポーツ,体育館,スポーツ振興課
131083,131083000019,江東区,亀戸スポーツセンター,カメイドスポーツセンター,,,1110a,,,131083,39008,東京都江東区亀戸8-22-1,東京都,江東区,亀戸8丁目,22-1,,35.700432,139.836565,階数,4,(03)5609-9571,,,https://www.koto-hsc.or.jp/contact/index.php,,1360071,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・トレーニング室・屋内プール等を備えたスポーツ施設です。,可,有,無,有,有,有,無,有,無,有,有,有,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center3/,https://www.koto-hsc.or.jp/sports_center3/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 東武亀戸線亀戸水神駅より徒歩3分、JR総武線亀戸駅東口より徒歩15分,スポーツ,体育館,スポーツ振興課
131083,131083000020,江東区,有明スポーツセンター,アリアケスポーツセンター,,,1110a,,,131083,1002,東京都江東区有明2-3-5,東京都,江東区,有明2丁目,3-5,,35.633500,139.783824,階数,5,(03)3528-0191,,,https://www.koto-hsc.or.jp/contact/index.php,,1350063,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・トレーニング室・屋内プール等を備えたスポーツ施設です。,可,有,無,有,有,有,無,有,無,有,有,有,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center4/,https://www.koto-hsc.or.jp/sports_center4/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 ゆりかもめお台場海浜公園駅より徒歩10分、有明テニスの森駅より徒歩15分、りんかい線国際展示場駅より徒歩15分;駐車料金（基本） 100;駐車料金（詳細） 最初の30分無料、その後20分毎100円,スポーツ,体育館,スポーツ振興課
131083,131083000021,江東区,東砂スポーツセンター,ヒガシスナスポーツセンター,,,1110a,,,131083,8004,東京都江東区東砂4-24-1,東京都,江東区,東砂4丁目,24-1,,35.679230,139.839600,階数,3,(03)5606-3171,,,https://www.koto-hsc.or.jp/contact/index.php,,1360074,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・トレーニング室・屋内プール等を備えたスポーツ施設です。,可,有,無,有,有,有,無,有,無,有,有,有,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center5/,https://www.koto-hsc.or.jp/sports_center5/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 東京メトロ東西線南砂町駅東口2a出口より徒歩20分/都営地下鉄新宿線大島駅A5出口より徒歩20分,スポーツ,体育館,スポーツ振興課
131083,131083000022,江東区,深川北スポーツセンター,フカガワキタスポーツセンター,,,1110a,,,131083,21003,東京都江東区平野3-2-20,東京都,江東区,平野3丁目,2-20,,35.676950,139.805320,階数,2,(03)3820-8730,,,https://www.koto-hsc.or.jp/contact/index.php,,1350023,2010605002198,公益財団法人江東区健康スポーツ公社,月火水木金土日,08:30:00,22:00:00,毎月第2・4月曜日（祝・休日の場合は翌日）、年末年始は休館,体育室・トレーニング室・屋内プール等を備えたスポーツ施設です。,可,有,無,有,有,有,無,有,無,有,有,無,有,有,有,無,有,https://www.koto-hsc.or.jp/sports_center6/,https://www.koto-hsc.or.jp/sports_center6/,ホームページ上の記事、写真、図表などを無断で転載・複写することは禁止します。 ,アクセス方法 東京メトロ東西線木場駅3番出口より徒歩10分、東京メトロ半蔵門線清澄白河駅B2出口より徒歩10分、都営大江戸線清澄白河駅A3出口より徒歩12分;駐車料金（基本） 100;駐車料金（詳細）  最初の30分無料、その後20分毎100円,スポーツ,体育館,スポーツ振興課
