都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
131105,1,東京都,目黒区,目黒区役所,メグロクヤクショ,目黒区総合庁舎,1302a,東京都目黒区上目黒 2-19-15,総合庁舎本館1階,35.641263,139.698591,03-3715-1111,,1.00E+12,目黒区,,,,,,,,
131105,2,東京都,目黒区,北部地区サービス事務所,ホクブチクサービスジムショ,,1304a,東京都目黒区大橋 1-5-1,クロスエアタワー9階,35.651456,139.688433,03-3496-5208,,1.00E+12,目黒区,,,,,,,,
131105,3,東京都,目黒区,東部地区サービス事務所,トウブチクサービスジムショ,,1304a,東京都目黒区上目黒 2-19-15,総合庁舎本館1階,35.641263,139.698591,03-5722-9752,,1.00E+12,目黒区,,,,,,,,
131105,4,東京都,目黒区,中央地区サービス事務所,チュウオウチクサービスジムショ,,1304a,東京都目黒区中央町 2-9-13,食販ビル1階,35.630972,139.691958,03-5722-9885,,1.00E+12,目黒区,,,,,,,,
131105,5,東京都,目黒区,南部地区サービス事務所,ナンブチクサービスジムショ,,1304a,東京都目黒区碑文谷 1-18-14,碑小学校内南西側,35.619316,139.690579,03-3719-2071,,1.00E+12,目黒区,,,,,,,,
131105,6,東京都,目黒区,西部地区サービス事務所,セイブチクサービスジムショ,,1304a,東京都目黒区柿の木坂 1-28-10,,35.619904,139.675704,03-5731-2500,,1.00E+12,目黒区,,,,,,,,
131105,7,東京都,目黒区,目黒駅行政サービス窓口,メグロエキギョウセイサービスマドグチ,,1304a,東京都目黒区品川区上大崎 3-1-1,JR東急目黒ビル地下2階,35.633423,139.715644,03-5437-2280,,1.00E+12,目黒区,,,,,,,,
131105,8,東京都,目黒区,北部包括支援センター,ホクブホウカツシエンセンター,,1499a,東京都目黒区大橋 1-5-1,クロスエアタワー9階,35.651456,139.688433,03-5428-6891,,1.00E+12,目黒区,,,,,,,,
131105,9,東京都,目黒区,東部包括支援センター,トウブホウカツシエンセンター,,1499a,東京都目黒区上目黒 2-19-15,総合庁舎本館1階,35.641263,139.698591,03-5724-8030,,1.00E+12,目黒区,,,,,,,,
131105,10,東京都,目黒区,中央包括支援センター,チュウオウホウカツシエンセンター,,1499a,東京都目黒区中央町 2-9-13,食販ビル2階,35.630972,139.691958,03-5724-8066,,1.00E+12,目黒区,,,,,,,,
131105,11,東京都,目黒区,南部包括支援センター,ナンブホウカツシエンセンター,,1499a,東京都目黒区碑文谷 1-18-14,碑小学校内南西側,35.619316,139.690579,03-5724-8033,,1.00E+12,目黒区,,,,,,,,
131105,12,東京都,目黒区,西部包括支援センター,セイブホウカツシエンセンター,,1499a,東京都目黒区柿の木坂 1-28-10,,35.619904,139.675704,03-5701-7244,,1.00E+12,目黒区,,,,,,,,
131105,13,東京都,目黒区,区民斎場,セレモニーメグロ（クミンサイジョウ）,セレモニー目黒,1399a,東京都目黒区八雲 1-1-9,区民キャンパス内,35.62057,139.67386,03-5701-3777,,1.00E+12,目黒区,,,,,,,,
131105,14,東京都,目黒区,中小企業センター,チュウショウキギョウセンター,,1309a,東京都目黒区目黒 2-4-36,区民センター内,35.635914,139.70807,03-3711-1135,,1.00E+12,目黒区,,,,,,,,
131105,15,東京都,目黒区,勤労福祉会館,キンロウフクシカイカン,,1309a,東京都目黒区目黒 2-4-36,区民センター内,35.635914,139.70807,03-3711-1135,,1.00E+12,目黒区,,,,,,,,
