全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
131229,1.31E+11,葛飾区,立石地区センター,,,,,,,131229,,"東京都葛飾区立石3-12-1立石地区センター
",東京都,葛飾区,立石3,12-1,立石地区センター別館,35.740059,139.843623,,,,,,,,1240012,,,,,,,,可,無,無,有,有,有,無,有,無,有,有,無,無,無,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,東立石地区センター,,,,,,,131229,,東京都葛飾区東立石2-15-7東立石地区センター,東京都,葛飾区,東立石2,15-7,東立石地区センター,35.734073,139.847683,,,,,,,,1240013,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,無,無,無,,無,可,,,,・座標精度：番地号一致（同住所の別建物あり）
131229,1.31E+11,葛飾区,東立石地区センター別館,,,,,,,131229,,東京都葛飾区東立石3-34-12東立石地区センター別館,東京都,葛飾区,東立石3,34-12,東立石地区センター別館,35.735298,139.847407,,,,,,,,1240013,,,,,,,,否,無,無,有,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致（同住所の別建物あり）
131229,1.31E+11,葛飾区,東四つ木地区センター,,,,,,,131229,,東京都葛飾区東四つ木1-20-4東四つ木地区センター,東京都,葛飾区,東四つ木1,20-4,東四つ木地区センター,35.728891,139.840693,,,,,,,,1240014,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,無,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,四つ木地区センター,,,,,,,131229,,東京都葛飾区宝町1-1-22四つ木地区センター,東京都,葛飾区,宝町1,1-22,四つ木地区センター,35.74013,139.837175,,,,,,,,1240005,,,,,,,,可,無,無,有,有,有,無,有,無,有,有,無,無,無,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,堀切地区センター,,,,,,,131229,,東京都葛飾区堀切3-8-5堀切地区センター,東京都,葛飾区,堀切3,8-5,堀切地区センター,35.74724,139.828075,,,,,,,,1240006,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,有,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,堀切地区センター別館,,,,,,,131229,,東京都葛飾区堀切2-31-10堀切地区センター別館,東京都,葛飾区,堀切2,31-10,堀切地区センター別館,35.744644,139.82726,,,,,,,,1240006,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致（同住所の別建物あり）
131229,1.31E+11,葛飾区,南綾瀬地区センター,,,,,,,131229,,東京都葛飾区堀切7-8-22南綾瀬地区センター,東京都,葛飾区,堀切7,8-22,南綾瀬地区センター,35.754027,139.829985,,,,,,,,1240006,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,有,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,南綾瀬地区センター別館,,,,,,,131229,,東京都葛飾区堀切6-28-5南綾瀬地区センター別館,東京都,葛飾区,堀切6,28-5,南綾瀬地区センター別館,35.753693,139.830118,,,,,,,,1240006,,,,,,,,否,無,無,無,無,有,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,お花茶屋地区センター,,,,,,,131229,,東京都葛飾区お花茶屋2-1-12お花茶屋地区センター,東京都,葛飾区,お花茶屋2,1-12,お花茶屋地区センター,35.751287,139.838477,,,,,,,,1240003,,,,,,,,否,無,無,無,無,無,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,亀有地区センター,,,,,,,131229,,東京都葛飾区亀有3-26-1亀有地区センター,東京都,葛飾区,亀有3,26-1,亀有地区センター,35.766574,139.848735,,,,,,,,1250061,,,,,,,,可,無,無,有,有,無,無,有,無,有,無,無,無,無,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,青戸地区センター,,,,,,,131229,,東京都葛飾区青戸5-20-6青戸地区センター,東京都,葛飾区,青戸5,20-6,青戸地区センター,35.750122,139.854345,,,,,,,,1250062,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,無,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,新小岩北地区センター,,,,,,,131229,,東京都葛飾区東新小岩6-21-1新小岩北地区センター,東京都,葛飾区,東新小岩6,21-1,新小岩北地区センター,35.724256,139.858911,,,,,,,,1240023,,,,,,,,可,無,無,有,無,有,無,有,無,有,有,有,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,新小岩地区センター,,,,,,,131229,,東京都葛飾区新小岩2-17-1新小岩地区センター,東京都,葛飾区,新小岩2,17-1,新小岩地区センター,35.716329,139.861747,,,,,,,,1240024,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,有,有,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,奥戸地区センター,,,,,,,131229,,東京都葛飾区奥戸3-9-17奥戸地区センター,東京都,葛飾区,奥戸3,9-17,奥戸地区センター,35.733671,139.861872,,,,,,,,1240022,,,,,,,,否,無,無,無,無,無,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,高砂地区センター,,,,,,,131229,,東京都葛飾区高砂3-1-39高砂地区センター,東京都,葛飾区,高砂3,1-39,高砂地区センター,35.745949,139.868386,,,,,,,,1250054,,,,,,,,可,無,無,有,有,有,無,有,無,有,有,無,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,柴又地区センター,,,,,,,131229,,東京都葛飾区柴又1-38-2柴又地区センター,東京都,葛飾区,柴又1,38-2,柴又地区センター,35.75571,139.872692,,,,,,,,1250052,,,,,,,,可,無,無,有,無,有,無,有,無,有,無,無,無,無,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,新宿地区センター,,,,,,,131229,,東京都葛飾区新宿4-1-10新宿地区センター,東京都,葛飾区,新宿4,1-10,新宿地区センター,35.76139,139.860152,,,,,,,,1250051,,,,,,,,否,無,無,無,無,無,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,金町地区センター,,,,,,,131229,,東京都葛飾区東金町1-22-1金町地区センター,東京都,葛飾区,東金町1,22-1,金町地区センター,35.769725,139.868832,,,,,,,,1250041,,,,,,,,可,無,無,有,有,有,無,有,無,有,無,無,無,有,,無,可,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,東金町地区センター,,,,,,,131229,,東京都葛飾区東金町5-33-6東金町地区センター,東京都,葛飾区,東金町5,33-6,東金町地区センター,35.777428,139.879218,,,,,,,,1250041,,,,,,,,否,無,無,無,無,無,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,水元地区センター,,,,,,,131229,,東京都葛飾区水元3-13-22水元地区センター,東京都,葛飾区,水元3,13-22,水元地区センター,35.782358,139.864306,,,,,,,,1250032,,,,,,,,否,無,無,無,無,有,無,有,無,有,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,西水元地区センター,,,,,,,131229,,東京都葛飾区西水元5-3-1-101西水元地区センター,東京都,葛飾区,西水元5,3-1-101,西水元地区センター,35.785357,139.854069,,,,,,,,1250031,,,,,,,,可,無,無,有,無,有,無,有,無,有,有,無,無,無,,無,可,,,,・座標精度：番地号一致（同住所の別建物あり）
131229,1.31E+11,葛飾区,亀有集い交流館,,,,,,,131229,,東京都葛飾区亀有1-24-3亀有集い交流館,東京都,葛飾区,亀有1,24-3,亀有集い交流館,35.760451,139.847451,,,,,,,,1250061,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,たつみ集い交流館,,,,,,,131229,,東京都葛飾区西新小岩2-1-4たつみ集い交流館,東京都,葛飾区,西新小岩2,1-4,たつみ集い交流館,35.717855,139.85072,,,,,,,,1240025,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致（同住所の別建物あり）
131229,1.31E+11,葛飾区,末広集い交流館,,,,,,,131229,,東京都葛飾区金町5-4-1末広集い交流館,東京都,葛飾区,金町5,4-1,末広集い交流館,35.765954,139.866389,,,,,,,,1250042,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,水元集い交流館,,,,,,,131229,,東京都葛飾区東水元1-7-3水元集い交流館,東京都,葛飾区,東水元1,7-3,水元集い交流館,35.778843,139.867535,,,,,,,,1250033,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,西青戸集い交流館,,,,,,,131229,,東京都葛飾区青戸7-15-2西青戸集い交流館,東京都,葛飾区,青戸7,15-2,西青戸集い交流館,35.754457,139.85381,,,,,,,,1250062,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,宝町集い交流館,,,,,,,131229,,東京都葛飾区宝町2-38-19宝町集い交流館,東京都,葛飾区,宝町2,38-19,宝町集い交流館,35.747688,139.837157,,,,,,,,1240005,,,,,,,,否,無,無,無,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
131229,1.31E+11,葛飾区,新宿防災コミュニティセンター集い交流館,,,,,,,131229,,東京都葛飾区新宿5-20-18新宿防災コミュニティセンター集い交流館,東京都,葛飾区,新宿5,20-18,新宿防災コミュニティセンター集い交流館,35.765451,139.861241,,,,,,,,1250051,,,,,,,,否,無,無,有,無,無,無,有,無,無,無,無,無,無,,無,否,,,,・座標精度：番地号一致
