都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
131164,1,東京都,豊島区,豊島区本庁舎,トシマクホンチョウシャ,,,東京都豊島区南池袋2-45-１,,35.72607,139.71666,,,,,,,,,,,,
131164,2,東京都,豊島区,豊島区役所東池袋分庁舎（生活福祉課事務室分）,トシマクヤクショヒガシイケブクロブンチョウシャ(セイカツフクシカジムシツブン),,,東京都豊島区東池袋1-39-2,,35.73244,139.71432,,,,,,,,,,,,
131164,3,東京都,豊島区,豊島区役所東池袋分庁舎（福祉総務課事務室分）,トシマクヤクショヒガシイケブクロブンチョウシャ(フクシソウムカジムシツブン),,,東京都豊島区東池袋1-39-2,,35.73244,139.71432,,,,,,,,,,,,
131164,4,東京都,豊島区,東部区民事務所,トウブクミンジムショ,,,東京都豊島区北大塚1-15-10,,35.73128,139.73157,,,,,,,,,,,,
131164,5,東京都,豊島区,西部区民事務所,セイブクミンジムショ,,,東京都豊島区千早2-39-16,,35.73556,139.69102,,,,,,,,,,,,
131164,6,東京都,豊島区,東部障害支援センター,トウブショウガイシエンセンター,,,"東京都豊島区南大塚2-36-1,2",,35.72909,139.72986,,,,,,,,,,,,
131164,7,東京都,豊島区,西部障害支援センター,セイブショウガイシエンセンター,,,東京都豊島区千早2-39-16,,35.73556,139.69102,,,,,,,,,,,,
131164,8,東京都,豊島区,池袋保健所,イケブクロホケンジョ,,,東京都豊島区東池袋4-42-16,,35.72778,139.72185,,,,,,,,,,,,
131164,9,東京都,豊島区,長崎健康相談所,ナガサキケンコウソウダンショ,,,東京都豊島区長崎2-27-18,,35.72959,139.69295,,,,,,,,,,,,
131164,10,東京都,豊島区,池袋三丁目物品保管室,イケブクロサンチョウメブッピンホカンシツ,,,東京都豊島区池袋3-30-22,,35.73549,139.70486,,,,,,,,,,,,
131164,11,東京都,豊島区,池袋本町倉庫,イケブクロホンチョウソウコ,,,東京都豊島区池袋本町1-40-7,,35.74013,139.71548,,,,,,,,,,,,
131164,12,東京都,豊島区,雑司が谷倉庫,ゾウシガヤソウコ,,,東京都豊島区雑司が谷1-34-5,,35.72028,139.72218,,,,,,,,,,,,
131164,13,東京都,豊島区,高田倉庫,タカダソウコ,,,東京都豊島区高田2-11-2,,35.71572,139.71443,,,,,,,,,,,,
131164,14,東京都,豊島区,旧真和中学校倉庫,キュウシンワチュウガッコウソウコ,,,東京都豊島区目白5-24-12,,35.72531,139.69717,,,,,,,,,,,,
131164,15,東京都,豊島区,ほほえみクラブ室,ホホエミクラブシツ,,,東京都豊島区池袋本町1-6-12,,35.73747,139.71396,,,,,,,,,,,,
131164,16,東京都,豊島区,地域文化財資料調査室,チイキブンカザイシリョウチョウサシツ,,,東京都豊島区西池袋2-30-15,,35.72734,139.70688,,,,,,,,,,,,
131164,17,東京都,豊島区,文化デザイン課分室,ブンカデザインカブンシツ,,,東京都豊島区目白5-24-12,,35.72531,139.69717,,,,,,,,,,,,
131164,18,東京都,豊島区,区民活動推進課分室,クミンカツドウスイシンカブンシツ,,,東京都豊島区南大塚2-36-1から2,,35.72909,139.72986,,,,,,,,,,,,
131164,19,東京都,豊島区,生活産業課分室,セイカツサンギョウカブンシツ,,,東京都豊島区北大塚1-15-10,,35.73128,139.73157,,,,,,,,,,,,
131164,20,東京都,豊島区,更生保護サポートセンター,コウセイホゴサポートセンター,,,東京都豊島区東池袋1-39-2,,35.73244,139.71432,,,,,,,,,,,,
131164,21,東京都,豊島区,道路工事事務所,ドウロコウジジムショ,,,東京都豊島区上池袋3-17-1,,35.74092,139.71802,,,,,,,,,,,,
131164,22,東京都,豊島区,豊島清掃事務所,トシマセイソウジムショ,,,東京都豊島区池袋本町1-7-3,,35.73812,139.71272,,,,,,,,,,,,
131164,23,東京都,豊島区,公園管理事務所,コウエンカンリジムショ,,,東京都豊島区千早2-1-14,,35.73116,139.69292,,,,,,,,,,,,
131164,24,東京都,豊島区,西部生活福祉課事務所,セイブセイカツフクシカジムショ,,,東京都豊島区目白5-24-12,,35.72531,139.69717,,,,,,,,,,,,
131164,25,東京都,豊島区,シルバー人材センター,シルバージンザイセンター,,,東京都豊島区東池袋2-55-6,,35.73351,139.71875,,,,,,,,,,,,
131164,26,東京都,豊島区,男女平等推進センター,ダンジョビョウドウスイシンセンター,,,東京都豊島区西池袋2-37-4,,35.72791,139.70682,,,,,,,,,,,,
131164,27,東京都,豊島区,区民ひろば駒込,クミンヒロバコマゴメ,,,東京都豊島区駒込2-2-4,,35.73686,139.74675,,,,,,,,,,,,
131164,28,東京都,豊島区,区民ひろば仰高,クミンヒロバギョウコウ,,,東京都豊島区駒込4-12-3,,35.73732,139.74059,,,,,,,,,,,,
