全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
131024,1.31E+11,中央区,中央区庁舎,チュウオウクチョウシャ,,,,,,131024,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,本庁舎防災備蓄倉庫,ホンチョウシャボウサイビチクソウコ,,,,,,131024,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,中央区役所別棟,チュウオウクヤクショベツムネ,,,,,,131024,,東京都中央区築地1-1-1,,,,,,35.670599,139.77201,,,,,,,,1040045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,新富分庁舎,シントミブンチョウシャ,,,,,,131024,,東京都中央区新富1-13-24,,,,,,35.673538,139.774941,,,,,,,,1040041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,新富区民館,シントミクミンカン,,,,,,131024,,東京都中央区新富1-13-24,,,,,,35.673538,139.774941,,,,,,,,1040041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザ分庁舎,キョウバシプラザブンチョウシャ,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザ防災備蓄倉庫・京橋プラザ防災拠点倉庫,キョウバシプラザボウサイビチクソウコ・キョウバシプラザボウサイキョテンソウコ,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザ住宅,キョウバシプラザジュウタク,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザ区民館,キョウバシプラザクミンカン,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザコミュニティルーム,キョウバシプラザコミュニティルーム,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋休日応急診療所（京橋プラザ認証保育所を含む）,キョウバシキュウジツオウキュウシンリョウジョ（キョウバシプラザニンショウホイクジョヲフクム）,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京橋プラザ駐車場,キョウバシプラザチュウシャジョウ,,,,,,131024,,東京都中央区銀座1-25-3,,,,,,35.673121,139.771593,,,,,,,,1040061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,日本橋特別出張所,ニホンバシトクベツシュッチョウジョ,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,日本橋公会堂,ニホンバシコウカイドウ,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,日本橋特別出張所防災備蓄倉庫・有馬小学校副拠点倉庫,ニホンバシトクベツシュッチョウショボウサイビチクソウコ・アリマショウガッコウフクキョテンソウコ,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,蛎殻町職員住宅,カキガラチョウショクインジュウタク,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,日本橋道路事務所・詰所,ニホンバシドウロジムショ・ツメショ,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,子ども家庭支援センター日本橋分室,コドモカテイシエンセンターニホンバシブンシツ,,,,,,131024,,東京都中央区日本橋蛎殻町1-31-1,,,,,,35.682479,139.784287,,,,,,,,1030014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島特別出張所,ツキシマトクベツシュッチョウジョ,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島道路事務所,ツキシマドウロジムショ,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島おとしより相談センター,ツキシマオトシヨリソウダンセンター,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島児童館,ツキシマジドウカン,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島図書館,ツキシマトショカン,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島社会教育会館,ツキシマシャカイキョウイクカイカン,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島駐車場,ツキシマチュウシャジョウ,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,月島特別出張所防災活動資器材庫,ツキシマトクベツシュッチョウショボウサイカツドウシキザイコ,,,,,,131024,,東京都中央区月島4-1-1,,,,,,35.661921,139.78192,,,,,,,,1040052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,環境土木部八丁堀詰所,カンキョウドボクブハッチョウボリツメショ,,,,,,131024,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,八丁堀職員住宅,ハッチョウボリショクインジュウタク,,,,,,131024,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,築地魚河岸,ツキジウオガシ,,,,,,131024,,東京都中央区築地6-26-1、6-27-1,,,,,,35.664851,139.771186,,,,,,,,1040045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,ハイテクセンター,ハイテクセンター,,,,,,131024,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京華スクエア防災備蓄倉庫・京華スクエア防災拠点倉庫,キョウカスクエアボウサイビチクソウコ・キョウカスクエアボウサイキョテンソウコ,,,,,,131024,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,京華コミュニティルーム,キョウカコミュニティルーム,,,,,,131024,,東京都中央区八丁堀3-17-9,,,,,,35.674999,139.775575,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,旧問屋街産業支援施設立体駐車場,キュウトンヤガイサンギョウシエンシセツリッタイチュウシャジョウ,,,,,,131024,,東京都中央区日本橋横山町6-15,,,,,,35.692748,139.782988,,,,,,,,1030003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131024,1.31E+11,中央区,八丁堀分庁舎,ハッチョウボリブンチョウシャ,,,,,,131024,,東京都中央区八丁堀4-1-5,,,,,,35.674144,139.772964,,,,,,,,1040032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
